Dates,NORMAL(mm),ACTUAL(mm) 
11-Apr-21,2.9,4.78
12-Apr-21,4.6,0
13-Apr-21,3.3,0
14-Apr-21,3.9,13.4
15-Apr-21,5.5,0
16-Apr-21,7.9,0.26
17-Apr-21,13.6,23.97
18-Apr-21,8.1,4.38
19-Apr-21,7.3,5.07
20-Apr-21,5.5,0
21-Apr-21,11.8,1.83
22-Apr-21,5.7,3.26
23-Apr-21,6.6,0.25
24-Apr-21,7.8,0
25-Apr-21,6.1,0
26-Apr-21,5.2,0
28-Apr-21,13.4,20.07
29-Apr-21,12.5,1.26
30-Apr-21,9.5,0
01-May-21,9.6,0.02
02-May-21,11.1,1.22
03-May-21,13.7,5.19
04-May-21,13.8,40.06
05-May-21,5,0.19
06-May-21,15.2,3.37
07-May-21,13.6,9.62
08-May-21,15.2,1.96
09-May-21,10.2,0
11-May-21,17.8,1.01
12-May-21,12,0
13-May-21,9.8,3.37
14-May-21,12.7,27.4
15-May-21,6.9,8.74
16-May-21,6.6,6.75
17-May-21,13.7,12.03
18-May-21,12.5,3.67
19-May-21,13.3,21.77
20-May-21,13.5,1.26
21-May-21,12.4,6.09
22-May-21,20.5,1.13
23-May-21,10.9,0
25-May-21,9.6,1.06
26-May-21,12,1.74
27-May-21,7.5,13.15
28-May-21,12.5,0.81
29-May-21,11.2,0.98
30-May-21,11.6,0.84
31-May-21,5.1,34.96
01-Jun-21,7.2,44.64
02-Jun-21,5.3,2.78
03-Jun-21,11.6,11.01
04-Jun-21,11.3,2.81
05-Jun-21,4.5,79.59
06-Jun-21,10.7,20.51
07-Jun-21,15.7,55.63
08-Jun-21,18.3,44.02
09-Jun-21,13.8,4.02
10-Jun-21,13.1,0
11-Jun-21,16.7,39.36
13-Jun-21,9.3,19.01
14-Jun-21,11,5.69
15-Jun-21,10,10.27
16-Jun-21,7.9,26.61
17-Jun-21,15.3,0.69
18-Jun-21,20.4,23.03
19-Jun-21,16.2,8.09
20-Jun-21,12.8,49.02
22-Jun-21,14.1,1
26-Jun-21,9.3,0.7
27-Jun-21,13.5,3.8
28-Jun-21,9.1,30.62
30-Jun-21,7.4,35.69
01-Jul-21,11.4,4.29
02-Jul-21,21.6,1.08
03-Jul-21,24.9,11.67
04-Jul-21,14,24.41
05-Jul-21,13.8,1.53
