Dates,NORMAL(mm) ,ACTUAL(mm) 
16-Sep-21,7.4,50.97
17-Sep-21,6.5,74.17
18-Sep-21,3.1,5.93
19-Sep-21,6.3,0.88
20-Sep-21,3.3,0
21-Sep-21,4.3,0.84
22-Sep-21,4.2,0.43
23-Sep-21,3.8,0.18
24-Sep-21,5.6,3.21
25-Sep-21,5.1,1.76
26-Sep-21,3.7,1.71
27-Sep-21,3.9,0
28-Sep-21,4,2.02
29-Sep-21,4.7,0
30-Sep-21,5.2,0.09
01-Oct-21,5.6,11.5
02-Oct-21,2.4,26.46
03-Oct-21,5.8,19.16
04-Oct-21,4.4,5.25
05-Oct-21,4.4,1.96
06-Oct-21,2.6,6.16
07-Oct-21,0.9,1.06
08-Oct-21,2.2,0
09-Oct-21,0.3,0
10-Oct-21,8,0
11-Oct-21,1.4,0
12-Oct-21,0.6,0
13-Oct-21,0.9,0
14-Oct-21,1.8,0
15-Oct-21,0.9,0
16-Oct-21,2.3,0
17-Oct-21,0.1,0
18-Oct-21,0.3,17.16
19-Oct-21,1.2,13.39
20-Oct-21,0.8,8.54
21-Oct-21,0.8,0
22-Oct-21,0.6,0
23-Oct-21,0.3,0
24-Oct-21,0,0
25-Oct-21,0,0
26-Oct-21,0.3,0
27-Oct-21,0.8,0
28-Oct-21,0,0
29-Oct-21,0.1,0
30-Oct-21,1.3,0
31-Oct-21,1.3,0
01-Nov-21,0.3,0
02-Nov-21,0.2,0
03-Nov-21,0,0
04-Nov-21,0.1,0
05-Nov-21,0,0
06-Nov-21,0,0
07-Nov-21,0,0
08-Nov-21,0,0
09-Nov-21,0,0
10-Nov-21,0.5,0
11-Nov-21,0.1,0
12-Nov-21,0,0
13-Nov-21,0,0
14-Nov-21,0,0
15-Nov-21,0.2,0
16-Nov-21,0,0
17-Nov-21,0.1,0
18-Nov-21,0,0
19-Nov-21,0,0
20-Nov-21,0,0
21-Nov-21,0,0
22-Nov-21,0,0
23-Nov-21,0,0
24-Nov-21,0,0
25-Nov-21,0,0
26-Nov-21,0,0
27-Nov-21,0,0
28-Nov-21,0,0
29-Nov-21,0,0
30-Nov-21,0,0
01-Dec-21,0.1,0
02-Dec-21,0.2,0
03-Dec-21,0.1,0
04-Dec-21,0.1,0
05-Dec-21,0,0
06-Dec-21,0.3,0
07-Dec-21,0,0
08-Dec-21,0,0
09-Dec-21,0,0
10-Dec-21,0.1,0
11-Dec-21,0.2,0
12-Dec-21,0,0
13-Dec-21,0.3,0
14-Dec-21,0.5,0
15-Dec-21,0,0
16-Dec-21,0.1,0
17-Dec-21,0.1,0
18-Dec-21,1.1,0
19-Dec-21,0.3,0
20-Dec-21,0,0
21-Dec-21,0,0
22-Dec-21,0,0
23-Dec-21,0.1,0
